Business Unit;Category;Java;Sumatera;Kalimantan;Sulawesi;Eastern;;;
personal care;baby care;50%;23%;14%;9%;4%;;;
personal care;deodorants;44%;21%;16%;11%;8%;;;
personal care;oral care;45%;20%;15%;10%;10%;;;
beauty wellbeing;colour cosmetics;55%;20%;11%;9%;5%;;;
beauty wellbeing;hair care;46%;20%;14%;11%;9%;;;
beauty wellbeing;skin care;55%;18%;13%;9%;5%;;;
home care;fabric cleaning;46%;21%;14%;10%;9%;;;
home care;home & hygiene;43%;22%;15%;12%;8%;;;
Nutrition ;beverages;32%;25%;18%;13%;12%;;;
Nutrition ;savoury;34%;23%;15%;15%;13%;;;
;;;;;;;;;